Age,Income,Student,Credit_Rating,Buys_Computer
56,32784,No,Fair,No
69,70844,No,Fair,Yes
46,37171,No,Fair,No
32,34594,No,Excellent,Yes
60,63242,No,Fair,Yes
25,43260,No,Fair,Yes
38,56279,Yes,Fair,Yes
56,39077,No,Fair,No
36,22971,No,Excellent,Yes
40,57015,No,Fair,No
28,26728,No,Fair,Yes
28,42342,No,Excellent,Yes
41,39005,No,Excellent,Yes
53,52930,Yes,Fair,No
57,41660,Yes,Excellent,No
41,48083,No,Excellent,No
20,26591,Yes,Fair,Yes
39,80005,No,Excellent,No
19,31998,No,Excellent,Yes
41,68020,Yes,Fair,Yes
61,52247,Yes,Fair,No
47,52113,Yes,Fair,No
55,55316,No,Excellent,Yes
19,21795,No,Excellent,No
38,64495,Yes,Excellent,Yes
50,42335,No,Fair,Yes
29,68155,No,Excellent,Yes
39,47731,Yes,Excellent,Yes
61,44382,No,Fair,No
42,30631,No,Fair,No
66,38517,Yes,Excellent,Yes
44,56334,Yes,Fair,No
59,30381,Yes,Excellent,Yes
45,20141,Yes,Fair,No
33,37136,No,Fair,No
32,62600,No,Fair,Yes
64,76719,Yes,Fair,Yes
68,39838,Yes,Excellent,Yes
61,26767,Yes,Fair,No
69,44853,Yes,Excellent,No
20,52757,No,Excellent,Yes
54,58668,Yes,Excellent,Yes
68,82019,Yes,Fair,Yes
24,53402,Yes,Excellent,Yes
38,74831,No,Excellent,Yes
26,43056,Yes,Fair,Yes
56,51298,No,Fair,No
35,41106,Yes,Excellent,Yes
21,39799,No,Excellent,Yes
42,46048,No,Fair,No
31,45790,Yes,Excellent,Yes
67,40940,No,Excellent,No
26,41761,No,Excellent,No
43,66451,No,Excellent,No
19,81696,No,Excellent,Yes
37,42523,No,Fair,No
45,45134,No,Fair,No
64,57869,No,Fair,No
24,97805,Yes,Excellent,Yes
61,51262,No,Excellent,Yes
25,64589,Yes,Fair,No
64,73167,No,Excellent,Yes
52,55161,Yes,Excellent,Yes
31,63893,Yes,Excellent,Yes
34,59117,Yes,Fair,No
53,65487,No,Excellent,Yes
67,34483,Yes,Fair,No
57,53064,Yes,Fair,No
21,57218,Yes,Fair,Yes
19,57005,No,Fair,No
23,67055,No,Fair,Yes
59,56703,No,Excellent,Yes
21,32825,No,Fair,No
46,58869,No,Excellent,No
35,36753,No,Fair,No
43,39509,Yes,Excellent,Yes
61,43722,Yes,Excellent,Yes
51,48328,Yes,Fair,Yes
27,26844,Yes,Fair,Yes
53,66753,No,Fair,Yes
31,32667,No,Excellent,Yes
48,73551,Yes,Excellent,Yes
65,33125,No,Fair,No
32,69228,No,Excellent,Yes
25,49573,Yes,Fair,Yes
31,24253,No,Fair,No
40,34355,No,Excellent,Yes
57,69897,Yes,Fair,No
38,56729,No,Excellent,No
33,48819,No,Fair,Yes
62,16748,No,Excellent,No
35,70843,No,Fair,No
64,78056,No,Fair,No
41,75320,No,Excellent,Yes
43,40771,Yes,Fair,Yes
42,55741,Yes,Excellent,Yes
62,57382,Yes,Excellent,Yes
58,27088,No,Excellent,No
46,52707,Yes,Excellent,No
32,66065,No,Excellent,Yes
62,61467,No,Excellent,No
18,33332,No,Excellent,Yes
42,37060,No,Excellent,Yes
24,61858,No,Fair,No
26,59492,No,Fair,Yes
41,16187,No,Excellent,Yes
18,13151,No,Fair,Yes
61,48852,Yes,Fair,Yes
25,41155,Yes,Fair,No
41,45525,No,Fair,No
28,43830,No,Excellent,No
68,64760,Yes,Excellent,Yes
34,51553,No,Fair,No
25,54014,No,Excellent,Yes
52,29865,No,Excellent,No
52,-461,No,Fair,Yes
50,66853,No,Excellent,No
22,82148,No,Fair,No
59,44861,No,Fair,No
56,53739,No,Excellent,No
58,54867,No,Fair,No
45,75129,No,Excellent,No
24,63334,Yes,Excellent,Yes
26,57440,No,Fair,No
25,50833,Yes,Excellent,Yes
29,50903,Yes,Excellent,Yes
51,28408,No,Fair,Yes
50,44247,No,Excellent,No
65,63293,No,Excellent,Yes
40,46494,Yes,Excellent,Yes
41,50665,No,Excellent,No
54,32358,No,Fair,No
52,56682,No,Excellent,Yes
61,28073,No,Excellent,No
57,54348,No,Excellent,Yes
39,47191,Yes,Excellent,Yes
44,23850,No,Excellent,No
52,66042,Yes,Fair,Yes
18,47542,Yes,Excellent,Yes
52,77911,No,Excellent,Yes
54,72173,Yes,Excellent,Yes
64,36807,No,Excellent,Yes
31,38124,Yes,Fair,Yes
20,32420,No,Fair,No
18,26203,Yes,Fair,Yes
22,43667,No,Fair,Yes
43,71656,No,Excellent,Yes
31,21276,Yes,Excellent,Yes
56,62779,No,Excellent,Yes
44,61525,No,Fair,No
26,58320,No,Excellent,Yes
32,60997,Yes,Fair,Yes
32,33436,No,Fair,No
43,61423,No,Excellent,No
59,41761,No,Excellent,No
30,13112,No,Fair,Yes
68,50861,No,Fair,Yes
49,37338,Yes,Fair,Yes
56,70382,No,Fair,Yes
66,45704,No,Excellent,No
69,50684,Yes,Fair,No
49,55837,No,Excellent,No
21,45988,No,Fair,No
47,48442,No,Fair,No
54,62653,No,Fair,No
40,34005,No,Fair,No
56,39472,No,Fair,No
62,35493,No,Fair,No
32,71551,Yes,Excellent,Yes
60,39474,No,Fair,No
46,47850,No,Excellent,No
53,40990,No,Fair,Yes
30,45377,Yes,Excellent,Yes
49,38938,Yes,Excellent,Yes
24,56940,Yes,Excellent,Yes
68,34387,Yes,Excellent,Yes
39,29713,No,Excellent,No
45,41623,Yes,Excellent,Yes
19,38026,No,Excellent,No
59,29932,No,Excellent,Yes
62,45149,No,Fair,No
23,25098,No,Fair,No
45,75916,No,Excellent,Yes
45,27610,No,Excellent,Yes
